ano,cod_produto,produto,uf,estado,municipio,qtd_produzida_ton,area_colhida_ha,valor_producao_reais,produtividade_ton_ha
2019,41176,Tangerina,SP,São Paulo,Araraquara,2202.0,699.0,1488198.0,3.1502
2020,41176,Tangerina,SP,São Paulo,Araraquara,1980.0,611.0,2674584.0,3.2406
2021,41176,Tangerina,SP,São Paulo,Araraquara,2495.0,698.0,,3.5745
2022,41176,Tangerina,SP,São Paulo,Araraquara,2074.0,639.0,2642072.0,3.2457
2023,41176,Tangerina,SP,São Paulo,Araraquara,2187.0,707.0,3716109.0,3.0934
2015,41160,Pomelo,SP,São Paulo,Araraquara,1000.0,121.0,681876.0,8.2645
2017,41160,Pomelo,SP,São Paulo,Araraquara,1243.0,126.0,,9.8651
2018,41160,Pomelo,SP,São Paulo,Araraquara,1136.0,124.0,1096321.0,9.1613
2020,41160,Pomelo,SP,São Paulo,Araraquara,979.0,125.0,681685.0,7.832
2021,41160,Pomelo,SP,São Paulo,Araraquara,1287.0,136.0,1725245.0,9.4632
2022,41160,Pomelo,SP,São Paulo,Araraquara,1027.0,139.0,1683646.0,7.3885
2023,41160,Pomelo,SP,São Paulo,Araraquara,1240.0,129.0,1179946.0,9.6124
2015,41151,Laranja,SP,São Paulo,Bebedouro,88762.0,3877.0,,22.8945
2016,41151,Laranja,SP,São Paulo,Bebedouro,95558.0,4399.0,79931613.0,21.7227
2017,41151,Laranja,SP,São Paulo,Bebedouro,95997.0,4312.0,104498692.0,22.2628
2018,41151,Laranja,SP,São Paulo,Bebedouro,95587.0,3994.0,85696537.0,23.9326
2019,41151,Laranja,SP,São Paulo,Bebedouro,95512.0,3684.0,94485396.0,25.9262
2020,41151,Laranja,SP,São Paulo,Bebedouro,78532.0,4304.0,38203972.0,18.2463
2022,41151,Laranja,SP,São Paulo,Bebedouro,88883.0,3989.0,105319222.0,22.282
2023,41151,Laranja,SP,São Paulo,Bebedouro,97753.0,3880.0,47578539.0,25.1941
2015,41155,Limão,SP,São Paulo,Bebedouro,16084.0,2600.0,19469368.0,6.1862
2016,41155,Limão,SP,São Paulo,Bebedouro,16124.0,2821.0,31093913.0,5.7157
2017,41155,Limão,SP,São Paulo,Bebedouro,17927.0,2956.0,18942673.0,6.0646
2018,41155,Limão,SP,São Paulo,Bebedouro,19329.0,2674.0,26997729.0,7.2285
2019,41155,Limão,SP,São Paulo,Bebedouro,18506.0,2759.0,22549568.0,6.7075
2020,41155,Limão,SP,São Paulo,Bebedouro,18810.0,2737.0,28767926.0,6.8725
2021,41155,Limão,SP,São Paulo,Bebedouro,19669.0,2659.0,13073968.0,7.3971
2022,41155,Limão,SP,São Paulo,Bebedouro,18326.0,2985.0,20847105.0,6.1394
2023,41155,Limão,SP,São Paulo,Bebedouro,20127.0,3020.0,18242661.0,6.6646
2015,41176,Tangerina,SP,São Paulo,Bebedouro,1335.0,562.0,1793685.0,2.3754
2016,41176,Tangerina,SP,São Paulo,Bebedouro,1709.0,558.0,3195140.0,3.0627
2017,41176,Tangerina,SP,São Paulo,Bebedouro,1683.0,541.0,2842157.0,3.1109
2018,41176,Tangerina,SP,São Paulo,Bebedouro,1435.0,611.0,1022880.0,2.3486
2019,41176,Tangerina,SP,São Paulo,Bebedouro,1433.0,563.0,984717.0,2.5453
2020,41176,Tangerina,SP,São Paulo,Bebedouro,1704.0,575.0,2160282.0,2.9635
2021,41176,Tangerina,SP,São Paulo,Bebedouro,1535.0,593.0,2639916.0,2.5885
2022,41176,Tangerina,SP,São Paulo,Bebedouro,1599.0,600.0,2580552.0,2.665
2023,41176,Tangerina,SP,São Paulo,Bebedouro,1561.0,585.0,1120058.0,2.6684
2015,41160,Pomelo,SP,São Paulo,Bebedouro,991.0,233.0,980653.0,4.2532
2016,41160,Pomelo,SP,São Paulo,Bebedouro,894.0,236.0,817036.0,3.7881
2017,41160,Pomelo,SP,São Paulo,Bebedouro,960.0,231.0,1411075.0,4.1558
2018,41160,Pomelo,SP,São Paulo,Bebedouro,963.0,211.0,1394664.0,4.564
2019,41160,Pomelo,SP,São Paulo,Bebedouro,1073.0,235.0,1508761.0,4.566
2020,41160,Pomelo,SP,São Paulo,Bebedouro,1158.0,205.0,1825089.0,5.6488
2021,41160,Pomelo,SP,São Paulo,Bebedouro,890.0,218.0,,4.0826
2022,41160,Pomelo,SP,São Paulo,Bebedouro,1023.0,211.0,1890713.0,4.8483
2023,41160,Pomelo,SP,São Paulo,Bebedouro,1085.0,235.0,1827680.0,4.617
2015,41151,Laranja,SP,São Paulo,Limeira,58597.0,5013.0,,11.689
2016,41151,Laranja,SP,São Paulo,Limeira,47250.0,5598.0,31764808.0,8.4405
2017,41151,Laranja,SP,São Paulo,Limeira,59723.0,4846.0,58293215.0,12.3242
2018,41151,Laranja,SP,São Paulo,Limeira,57094.0,4853.0,32959059.0,11.7647
2019,41151,Laranja,SP,São Paulo,Limeira,50866.0,5543.0,33807224.0,9.1766
2020,41151,Laranja,SP,São Paulo,Limeira,45681.0,5321.0,46126466.0,8.585
2021,41151,Laranja,SP,São Paulo,Limeira,52546.0,5054.0,25244195.0,10.3969
2022,41151,Laranja,SP,São Paulo,Limeira,52707.0,5045.0,62164530.0,10.4474
2023,41151,Laranja,SP,São Paulo,Limeira,58446.0,5362.0,45325899.0,10.9
2015,41155,Limão,SP,São Paulo,Limeira,7228.0,2173.0,11283135.0,3.3263
2016,41155,Limão,SP,São Paulo,Limeira,7384.0,2105.0,10592920.0,3.5078
2017,41155,Limão,SP,São Paulo,Limeira,7456.0,2110.0,10409181.0,3.5336
2018,41155,Limão,SP,São Paulo,Limeira,6693.0,1961.0,6263384.0,3.4131
2019,41155,Limão,SP,São Paulo,Limeira,6146.0,2050.0,6120221.0,2.998
2020,41155,Limão,SP,São Paulo,Limeira,7459.0,2271.0,6541146.0,3.2845
2021,41155,Limão,SP,São Paulo,Limeira,6210.0,2266.0,8899312.0,2.7405
2022,41155,Limão,SP,São Paulo,Limeira,7018.0,2043.0,9516226.0,3.4351
2023,41155,Limão,SP,São Paulo,Limeira,6130.0,2024.0,,3.0287
2015,41176,Tangerina,SP,São Paulo,Limeira,5751.0,131.0,7628985.0,43.9008
2016,41176,Tangerina,SP,São Paulo,Limeira,6106.0,140.0,7154322.0,43.6143
2018,41176,Tangerina,SP,São Paulo,Limeira,5858.0,126.0,10644656.0,46.4921
2019,41176,Tangerina,SP,São Paulo,Limeira,5198.0,128.0,5062221.0,40.6094
2021,41176,Tangerina,SP,São Paulo,Limeira,4632.0,153.0,6979467.0,30.2745
2022,41176,Tangerina,SP,São Paulo,Limeira,5268.0,140.0,6529691.0,37.6286
2023,41176,Tangerina,SP,São Paulo,Limeira,4557.0,148.0,8185180.0,30.7905
2015,41160,Pomelo,SP,São Paulo,Limeira,1786.0,205.0,2721715.0,8.7122
2016,41160,Pomelo,SP,São Paulo,Limeira,1545.0,219.0,2807948.0,7.0548
2017,41160,Pomelo,SP,São Paulo,Limeira,1514.0,200.0,2844506.0,7.57
2018,41160,Pomelo,SP,São Paulo,Limeira,1853.0,186.0,3616120.0,9.9624
2019,41160,Pomelo,SP,São Paulo,Limeira,1356.0,187.0,2466979.0,7.2513
2020,41160,Pomelo,SP,São Paulo,Limeira,1556.0,185.0,1649347.0,8.4108
2021,41160,Pomelo,SP,São Paulo,Limeira,1603.0,203.0,2347502.0,7.8966
2022,41160,Pomelo,SP,São Paulo,Limeira,1860.0,212.0,2948931.0,8.7736
2023,41160,Pomelo,SP,São Paulo,Limeira,1517.0,184.0,1671504.0,8.2446
2015,41151,Laranja,SP,São Paulo,Matão,66164.0,3560.0,62624733.0,18.5854
2016,41151,Laranja,SP,São Paulo,Matão,67355.0,3936.0,52011706.0,17.1126
2017,41151,Laranja,SP,São Paulo,Matão,59718.0,3982.0,56866513.0,14.997
2019,41151,Laranja,SP,São Paulo,Matão,71473.0,3848.0,84258251.0,18.5741
2020,41151,Laranja,SP,São Paulo,Matão,58284.0,3866.0,33525168.0,15.076
2022,41151,Laranja,SP,São Paulo,Matão,60290.0,3584.0,33800734.0,16.822
2023,41151,Laranja,SP,São Paulo,Matão,56922.0,3947.0,65764847.0,14.4216
2015,41155,Limão,SP,São Paulo,Matão,8205.0,1016.0,12691930.0,8.0758
2016,41155,Limão,SP,São Paulo,Matão,7319.0,1025.0,5657764.0,7.1405
2017,41155,Limão,SP,São Paulo,Matão,7262.0,1113.0,9150611.0,6.5247
2018,41155,Limão,SP,São Paulo,Matão,7912.0,1068.0,12512891.0,7.4082
2019,41155,Limão,SP,São Paulo,Matão,8801.0,993.0,8173665.0,8.863
2020,41155,Limão,SP,São Paulo,Matão,7678.0,1094.0,12417159.0,7.0183
2021,41155,Limão,SP,São Paulo,Matão,7036.0,1116.0,6361793.0,6.3047
2022,41155,Limão,SP,São Paulo,Matão,8568.0,1107.0,5867110.0,7.7398
2015,41176,Tangerina,SP,São Paulo,Matão,5259.0,331.0,4870876.0,15.8882
2016,41176,Tangerina,SP,São Paulo,Matão,5926.0,314.0,10180390.0,18.8726
2017,41176,Tangerina,SP,São Paulo,Matão,5263.0,281.0,5113080.0,18.7295
2018,41176,Tangerina,SP,São Paulo,Matão,5029.0,303.0,7197164.0,16.5974
2020,41176,Tangerina,SP,São Paulo,Matão,5021.0,336.0,5276852.0,14.9435
2021,41176,Tangerina,SP,São Paulo,Matão,4917.0,318.0,4980217.0,15.4623
2022,41176,Tangerina,SP,São Paulo,Matão,5743.0,315.0,10404531.0,18.2317
2023,41176,Tangerina,SP,São Paulo,Matão,5497.0,300.0,5703318.0,18.3233
2015,41160,Pomelo,SP,São Paulo,Matão,271.0,101.0,303982.0,2.6832
2016,41160,Pomelo,SP,São Paulo,Matão,270.0,104.0,517747.0,2.5962
2017,41160,Pomelo,SP,São Paulo,Matão,242.0,97.0,197622.0,2.4948
2018,41160,Pomelo,SP,São Paulo,Matão,258.0,91.0,309795.0,2.8352
2020,41160,Pomelo,SP,São Paulo,Matão,245.0,100.0,170867.0,2.45
2021,41160,Pomelo,SP,São Paulo,Matão,273.0,90.0,282907.0,3.0333
2022,41160,Pomelo,SP,São Paulo,Matão,301.0,88.0,214978.0,3.4205
2023,41160,Pomelo,SP,São Paulo,Matão,279.0,93.0,210713.0,3.0
2015,41151,Laranja,SP,São Paulo,Borborema,101071.0,3311.0,57508103.0,30.5258
2016,41151,Laranja,SP,São Paulo,Borborema,129996.0,3224.0,91538757.0,40.3213
2017,41151,Laranja,SP,São Paulo,Borborema,134485.0,3132.0,55810364.0,42.939
2018,41151,Laranja,SP,São Paulo,Borborema,117112.0,3182.0,48798842.0,36.8045
2019,41151,Laranja,SP,São Paulo,Borborema,104218.0,3685.0,61973565.0,28.2817
2020,41151,Laranja,SP,São Paulo,Borborema,113801.0,3219.0,91995206.0,35.3529
2021,41151,Laranja,SP,São Paulo,Borborema,132810.0,3665.0,78227092.0,36.2374
2022,41151,Laranja,SP,São Paulo,Borborema,107701.0,3636.0,85653918.0,29.6207
2023,41151,Laranja,SP,São Paulo,Borborema,125625.0,3533.0,137106810.0,35.5576
2015,41155,Limão,SP,São Paulo,Borborema,12159.0,2926.0,12579348.0,4.1555
2016,41155,Limão,SP,São Paulo,Borborema,15892.0,3129.0,23218398.0,5.0789
2017,41155,Limão,SP,São Paulo,Borborema,13977.0,3103.0,21141224.0,4.5044
2018,41155,Limão,SP,São Paulo,Borborema,12378.0,3155.0,13378301.0,3.9233
2019,41155,Limão,SP,São Paulo,Borborema,13930.0,2935.0,11453868.0,4.7462
2020,41155,Limão,SP,São Paulo,Borborema,15546.0,3008.0,10762131.0,5.1682
2021,41155,Limão,SP,São Paulo,Borborema,16087.0,3140.0,17160113.0,5.1232
2022,41155,Limão,SP,São Paulo,Borborema,13710.0,2977.0,26230014.0,4.6053
2023,41155,Limão,SP,São Paulo,Borborema,15729.0,3061.0,24530637.0,5.1385
2015,41176,Tangerina,SP,São Paulo,Borborema,1902.0,335.0,1652471.0,5.6776
2016,41176,Tangerina,SP,São Paulo,Borborema,2031.0,334.0,2715740.0,6.0808
2017,41176,Tangerina,SP,São Paulo,Borborema,1797.0,331.0,2649922.0,5.429
2018,41176,Tangerina,SP,São Paulo,Borborema,2311.0,326.0,3820886.0,7.089
2019,41176,Tangerina,SP,São Paulo,Borborema,2269.0,299.0,3516109.0,7.5886
2020,41176,Tangerina,SP,São Paulo,Borborema,1952.0,297.0,1716933.0,6.5724
2021,41176,Tangerina,SP,São Paulo,Borborema,2288.0,332.0,3025360.0,6.8916
2022,41176,Tangerina,SP,São Paulo,Borborema,2221.0,292.0,4163724.0,7.6062
2023,41176,Tangerina,SP,São Paulo,Borborema,1923.0,311.0,1373498.0,6.1833
2015,41160,Pomelo,SP,São Paulo,Borborema,344.0,130.0,433934.0,2.6462
2016,41160,Pomelo,SP,São Paulo,Borborema,341.0,113.0,275980.0,3.0177
2017,41160,Pomelo,SP,São Paulo,Borborema,355.0,113.0,530559.0,3.1416
2019,41160,Pomelo,SP,São Paulo,Borborema,427.0,120.0,471768.0,3.5583
2020,41160,Pomelo,SP,São Paulo,Borborema,454.0,109.0,518301.0,4.1651
2021,41160,Pomelo,SP,São Paulo,Borborema,370.0,123.0,275697.0,3.0081
2022,41160,Pomelo,SP,São Paulo,Borborema,423.0,127.0,659269.0,3.3307
2023,41160,Pomelo,SP,São Paulo,Borborema,463.0,108.0,408471.0,4.287
2015,41151,Laranja,SP,São Paulo,Itápolis,103793.0,7226.0,57385358.0,14.3638
2016,41151,Laranja,SP,São Paulo,Itápolis,108001.0,7413.0,107422780.0,14.5691
2017,41151,Laranja,SP,São Paulo,Itápolis,128410.0,6904.0,133664340.0,18.5994
2018,41151,Laranja,SP,São Paulo,Itápolis,106284.0,6300.0,98709710.0,16.8705
2019,41151,Laranja,SP,São Paulo,Itápolis,96053.0,7387.0,65512703.0,13.003
2020,41151,Laranja,SP,São Paulo,Itápolis,117888.0,6689.0,122706881.0,17.6242
2021,41151,Laranja,SP,São Paulo,Itápolis,95776.0,6282.0,97960870.0,15.2461
2022,41151,Laranja,SP,São Paulo,Itápolis,129310.0,6701.0,130663562.0,19.2971
2023,41151,Laranja,SP,São Paulo,Itápolis,98661.0,7202.0,78853340.0,13.6991
2015,41155,Limão,SP,São Paulo,Itápolis,27028.0,1835.0,23791388.0,14.7292
2016,41155,Limão,SP,São Paulo,Itápolis,27991.0,1825.0,55455895.0,15.3375
2017,41155,Limão,SP,São Paulo,Itápolis,22593.0,1738.0,35703875.0,12.9994
2018,41155,Limão,SP,São Paulo,Itápolis,23248.0,1667.0,25694971.0,13.946
2019,41155,Limão,SP,São Paulo,Itápolis,21835.0,1635.0,35016943.0,13.3547
2020,41155,Limão,SP,São Paulo,Itápolis,23912.0,1526.0,29941804.0,15.6697
2021,41155,Limão,SP,São Paulo,Itápolis,27638.0,1545.0,36040209.0,17.8887
2022,41155,Limão,SP,São Paulo,Itápolis,29018.0,1577.0,55902491.0,18.4008
2023,41155,Limão,SP,São Paulo,Itápolis,23560.0,1710.0,34402302.0,13.7778
2017,41176,Tangerina,SP,São Paulo,Itápolis,6268.0,821.0,7740740.0,7.6346
2018,41176,Tangerina,SP,São Paulo,Itápolis,5038.0,897.0,5275002.0,5.6165
2019,41176,Tangerina,SP,São Paulo,Itápolis,4969.0,793.0,3833735.0,6.2661
2020,41176,Tangerina,SP,São Paulo,Itápolis,5547.0,914.0,10335365.0,6.0689
2021,41176,Tangerina,SP,São Paulo,Itápolis,6618.0,831.0,12115611.0,7.9639
2022,41176,Tangerina,SP,São Paulo,Itápolis,5853.0,761.0,5817290.0,7.6912
2023,41176,Tangerina,SP,São Paulo,Itápolis,4971.0,775.0,4823172.0,6.4142
2015,41160,Pomelo,SP,São Paulo,Itápolis,1212.0,142.0,1382756.0,8.5352
2016,41160,Pomelo,SP,São Paulo,Itápolis,1115.0,136.0,1251562.0,8.1985
2017,41160,Pomelo,SP,São Paulo,Itápolis,1228.0,135.0,803700.0,9.0963
2018,41160,Pomelo,SP,São Paulo,Itápolis,1120.0,161.0,1171455.0,6.9565
2020,41160,Pomelo,SP,São Paulo,Itápolis,1189.0,160.0,2165096.0,7.4312
2021,41160,Pomelo,SP,São Paulo,Itápolis,1301.0,140.0,874138.0,9.2929
2022,41160,Pomelo,SP,São Paulo,Itápolis,1401.0,141.0,1963639.0,9.9362
2023,41160,Pomelo,SP,São Paulo,Itápolis,1146.0,149.0,1668655.0,7.6913
2015,41151,Laranja,SP,São Paulo,Novo Horizonte,133878.0,5637.0,93910037.0,23.7499
2016,41151,Laranja,SP,São Paulo,Novo Horizonte,128991.0,5866.0,134527554.0,21.9896
2017,41151,Laranja,SP,São Paulo,Novo Horizonte,131756.0,6208.0,133987869.0,21.2236
2018,41151,Laranja,SP,São Paulo,Novo Horizonte,131494.0,5913.0,82871660.0,22.2381
2019,41151,Laranja,SP,São Paulo,Novo Horizonte,125447.0,5261.0,54400491.0,23.8447
2020,41151,Laranja,SP,São Paulo,Novo Horizonte,104504.0,6033.0,64469163.0,17.3221
2021,41151,Laranja,SP,São Paulo,Novo Horizonte,98390.0,6120.0,57119066.0,16.0768
2022,41151,Laranja,SP,São Paulo,Novo Horizonte,101638.0,6188.0,120169511.0,16.425
2016,41155,Limão,SP,São Paulo,Novo Horizonte,5883.0,1104.0,5987417.0,5.3288
2017,41155,Limão,SP,São Paulo,Novo Horizonte,6365.0,1311.0,5014855.0,4.8551
2018,41155,Limão,SP,São Paulo,Novo Horizonte,6619.0,1270.0,4101912.0,5.2118
2019,41155,Limão,SP,São Paulo,Novo Horizonte,6600.0,1193.0,7911978.0,5.5323
2020,41155,Limão,SP,São Paulo,Novo Horizonte,7210.0,1096.0,8197799.0,6.5785
2021,41155,Limão,SP,São Paulo,Novo Horizonte,5825.0,1182.0,5422047.0,4.9281
2022,41155,Limão,SP,São Paulo,Novo Horizonte,7111.0,1282.0,11138716.0,5.5468
2023,41155,Limão,SP,São Paulo,Novo Horizonte,6270.0,1206.0,12442019.0,5.199
2015,41176,Tangerina,SP,São Paulo,Novo Horizonte,7999.0,334.0,11471687.0,23.9491
2016,41176,Tangerina,SP,São Paulo,Novo Horizonte,6442.0,344.0,12008167.0,18.7267
2017,41176,Tangerina,SP,São Paulo,Novo Horizonte,7804.0,337.0,10023138.0,23.1573
2019,41176,Tangerina,SP,São Paulo,Novo Horizonte,6695.0,295.0,7988315.0,22.6949
2020,41176,Tangerina,SP,São Paulo,Novo Horizonte,7305.0,309.0,6223669.0,23.6408
2021,41176,Tangerina,SP,São Paulo,Novo Horizonte,8309.0,319.0,15653832.0,26.047
2022,41176,Tangerina,SP,São Paulo,Novo Horizonte,8235.0,298.0,16387530.0,27.6342
2023,41176,Tangerina,SP,São Paulo,Novo Horizonte,8518.0,320.0,13686139.0,26.6188
2015,41160,Pomelo,SP,São Paulo,Novo Horizonte,418.0,110.0,610653.0,3.8
2016,41160,Pomelo,SP,São Paulo,Novo Horizonte,508.0,105.0,782743.0,4.8381
2017,41160,Pomelo,SP,São Paulo,Novo Horizonte,534.0,112.0,425165.0,4.7679
2018,41160,Pomelo,SP,São Paulo,Novo Horizonte,536.0,113.0,499372.0,4.7434
2019,41160,Pomelo,SP,São Paulo,Novo Horizonte,502.0,108.0,817907.0,4.6481
2020,41160,Pomelo,SP,São Paulo,Novo Horizonte,468.0,110.0,530532.0,4.2545
2021,41160,Pomelo,SP,São Paulo,Novo Horizonte,499.0,101.0,456825.0,4.9406
2022,41160,Pomelo,SP,São Paulo,Novo Horizonte,479.0,105.0,642812.0,4.5619
2023,41160,Pomelo,SP,São Paulo,Novo Horizonte,485.0,104.0,654696.0,4.6635
2015,41151,Laranja,SP,São Paulo,Tabapuã,55262.0,4620.0,51789359.0,11.9615
2016,41151,Laranja,SP,São Paulo,Tabapuã,45570.0,4259.0,45259220.0,10.6997
2017,41151,Laranja,SP,São Paulo,Tabapuã,48592.0,4304.0,31939133.0,11.29
2018,41151,Laranja,SP,São Paulo,Tabapuã,56540.0,4510.0,58929001.0,12.5366
2020,41151,Laranja,SP,São Paulo,Tabapuã,45868.0,4604.0,27364115.0,9.9626
2021,41151,Laranja,SP,São Paulo,Tabapuã,53936.0,4758.0,41458618.0,11.3359
2022,41151,Laranja,SP,São Paulo,Tabapuã,56647.0,4986.0,66038478.0,11.3612
2023,41151,Laranja,SP,São Paulo,Tabapuã,42212.0,4211.0,38183342.0,10.0242
2016,41155,Limão,SP,São Paulo,Tabapuã,26304.0,2577.0,31638516.0,10.2072
2017,41155,Limão,SP,São Paulo,Tabapuã,27309.0,2356.0,29936604.0,11.5913
2018,41155,Limão,SP,São Paulo,Tabapuã,27971.0,2379.0,49209014.0,11.7575
2019,41155,Limão,SP,São Paulo,Tabapuã,25475.0,2418.0,32261721.0,10.5356
2020,41155,Limão,SP,São Paulo,Tabapuã,24843.0,2715.0,48776141.0,9.1503
2021,41155,Limão,SP,São Paulo,Tabapuã,26856.0,2365.0,50860509.0,11.3556
2022,41155,Limão,SP,São Paulo,Tabapuã,29280.0,2238.0,26059825.0,13.0831
2023,41155,Limão,SP,São Paulo,Tabapuã,26832.0,2512.0,48008334.0,10.6815
2015,41176,Tangerina,SP,São Paulo,Tabapuã,5383.0,882.0,5836266.0,6.1032
2016,41176,Tangerina,SP,São Paulo,Tabapuã,6432.0,919.0,6798156.0,6.9989
2017,41176,Tangerina,SP,São Paulo,Tabapuã,5985.0,788.0,8500047.0,7.5952
2018,41176,Tangerina,SP,São Paulo,Tabapuã,5767.0,820.0,9789173.0,7.0329
2019,41176,Tangerina,SP,São Paulo,Tabapuã,6126.0,884.0,4552377.0,6.9299
2020,41176,Tangerina,SP,São Paulo,Tabapuã,5405.0,850.0,,6.3588
2021,41176,Tangerina,SP,São Paulo,Tabapuã,6694.0,851.0,13319870.0,7.866
2022,41176,Tangerina,SP,São Paulo,Tabapuã,5768.0,781.0,4811033.0,7.3854
2023,41176,Tangerina,SP,São Paulo,Tabapuã,6686.0,840.0,,7.9595
2015,41160,Pomelo,SP,São Paulo,Tabapuã,873.0,214.0,1530324.0,4.0794
2016,41160,Pomelo,SP,São Paulo,Tabapuã,885.0,203.0,1024418.0,4.3596
2017,41160,Pomelo,SP,São Paulo,Tabapuã,840.0,208.0,1428179.0,4.0385
2018,41160,Pomelo,SP,São Paulo,Tabapuã,968.0,197.0,1566319.0,4.9137
2019,41160,Pomelo,SP,São Paulo,Tabapuã,991.0,230.0,1528289.0,4.3087
2020,41160,Pomelo,SP,São Paulo,Tabapuã,855.0,215.0,1228726.0,3.9767
2021,41160,Pomelo,SP,São Paulo,Tabapuã,756.0,238.0,1196209.0,3.1765
2022,41160,Pomelo,SP,São Paulo,Tabapuã,938.0,203.0,1367368.0,4.6207
2023,41160,Pomelo,SP,São Paulo,Tabapuã,976.0,200.0,720336.0,4.88
2015,41151,Laranja,SP,São Paulo,Catanduva,89286.0,6426.0,85031508.0,13.8945
2016,41151,Laranja,SP,São Paulo,Catanduva,78203.0,6615.0,76961181.0,11.8221
2018,41151,Laranja,SP,São Paulo,Catanduva,85760.0,5719.0,89193839.0,14.9956
2019,41151,Laranja,SP,São Paulo,Catanduva,88208.0,6156.0,91577954.0,14.3288
2021,41151,Laranja,SP,São Paulo,Catanduva,99171.0,6249.0,68689248.0,15.8699
2022,41151,Laranja,SP,São Paulo,Catanduva,84889.0,6065.0,60613734.0,13.9965
2023,41151,Laranja,SP,São Paulo,Catanduva,99204.0,6723.0,86519249.0,14.7559
2015,41155,Limão,SP,São Paulo,Catanduva,9421.0,2641.0,13233946.0,3.5672
2016,41155,Limão,SP,São Paulo,Catanduva,8737.0,2419.0,8775169.0,3.6118
2017,41155,Limão,SP,São Paulo,Catanduva,9727.0,2433.0,11064674.0,3.9979
2018,41155,Limão,SP,São Paulo,Catanduva,9598.0,2419.0,,3.9678
2019,41155,Limão,SP,São Paulo,Catanduva,10668.0,2626.0,17938953.0,4.0625
2020,41155,Limão,SP,São Paulo,Catanduva,11336.0,2613.0,18812100.0,4.3383
2022,41155,Limão,SP,São Paulo,Catanduva,10767.0,2441.0,17578830.0,4.4109
2023,41155,Limão,SP,São Paulo,Catanduva,10681.0,2754.0,18452673.0,3.8784
2015,41176,Tangerina,SP,São Paulo,Catanduva,3009.0,431.0,3972424.0,6.9814
2016,41176,Tangerina,SP,São Paulo,Catanduva,2519.0,378.0,3824483.0,6.664
2017,41176,Tangerina,SP,São Paulo,Catanduva,3268.0,387.0,2611263.0,8.4444
2018,41176,Tangerina,SP,São Paulo,Catanduva,3222.0,417.0,3750379.0,7.7266
2019,41176,Tangerina,SP,São Paulo,Catanduva,3018.0,425.0,5390251.0,7.1012
2020,41176,Tangerina,SP,São Paulo,Catanduva,3223.0,387.0,6302189.0,8.3282
2021,41176,Tangerina,SP,São Paulo,Catanduva,2587.0,423.0,4407278.0,6.1158
2022,41176,Tangerina,SP,São Paulo,Catanduva,2478.0,430.0,2034876.0,5.7628
2023,41176,Tangerina,SP,São Paulo,Catanduva,3305.0,380.0,6028956.0,8.6974
2015,41160,Pomelo,SP,São Paulo,Catanduva,1238.0,137.0,2001083.0,9.0365
2017,41160,Pomelo,SP,São Paulo,Catanduva,1540.0,133.0,1417609.0,11.5789
2018,41160,Pomelo,SP,São Paulo,Catanduva,1394.0,142.0,2543068.0,9.8169
2019,41160,Pomelo,SP,São Paulo,Catanduva,1291.0,130.0,1159676.0,9.9308
2020,41160,Pomelo,SP,São Paulo,Catanduva,1636.0,124.0,1263679.0,13.1935
2021,41160,Pomelo,SP,São Paulo,Catanduva,1517.0,127.0,2186601.0,11.9449
2022,41160,Pomelo,SP,São Paulo,Catanduva,1612.0,144.0,1430849.0,11.1944
